DATE,O,H,L,C,SYM
20110908,106.05,106.17,104.34,104.99,CL
20110909,104.71,105.44,101.58,103.18,CL
20110912,102.64,104.91,100.94,104.13,CL
20110913,104.89,106.46,103.75,106.15,CL
20110914,105.82,106.19,104.15,104.85,CL
20110915,104.54,106.09,103.95,105.34,CL
20110916,105.05,105.72,102.94,103.9,CL
20110919,103.69,103.69,100.73,101.64,CL
20110920,101.78,103.4,101.05,102.83,CL
20110921,102.42,103.9,100.56,101.83,CL
20110922,100.72,100.91,95.57,96.42,CL
20110923,96.31,97.72,93.46,95.76,CL
20110926,95.55,97.47,93.02,96.15,CL
20110927,97.39,100.68,96.83,100.36,CL
20110928,99.67,100.53,96.4,97.12,CL
20110929,96.58,99.89,95.55,98.05,CL
20110930,98.98,99.14,94.44,95.11,CL
20111003,94.83,95.55,92.16,93.52,CL
20111004,92.31,94.31,90.86,91.58,CL
20111005,94.16,95.82,92.85,95.59,CL
20111006,95.62,98.81,94.99,98.5,CL
20111007,98.48,99.91,97.27,98.89,CL
20111010,98.66,102.0,98.66,101.32,CL
20111011,101.61,102.55,99.88,101.72,CL
20111012,101.11,102.5,100.43,101.48,CL
20111013,100.84,101.3,99.08,100.14,CL
20111014,100.38,103.33,99.68,102.71,CL
20111017,103.39,104.09,101.79,102.29,CL
20111018,102.11,104.94,101.46,104.25,CL
20111019,104.17,105.42,101.78,102.02,CL
20111020,102.01,102.85,100.01,101.21,CL
20111021,101.64,104.03,101.09,102.54,CL
20111024,102.19,107.02,102.14,106.41,CL
20111025,106.83,109.79,106.24,108.31,CL
20111026,107.73,109.06,105.14,105.34,CL
20111027,106.12,109.39,105.88,109.1,CL
20111028,109.07,109.07,107.15,108.46,CL
20111031,108.67,108.94,106.5,108.33,CL
20111101,107.72,108.02,104.31,107.33,CL
20111102,106.74,108.93,106.11,107.65,CL
20111103,108.13,109.75,106.01,109.21,CL
20111104,109.38,110.07,108.01,109.4,CL
20111107,109.54,111.25,108.37,110.66,CL
20111108,111.01,112.22,110.37,111.94,CL
20111109,111.95,112.98,109.68,110.88,CL
20111110,110.89,113.49,110.34,112.92,CL
20111111,112.65,114.54,112.49,114.13,CL
20111114,114.44,114.83,112.33,113.28,CL
20111115,113.18,114.98,112.65,114.51,CL
20111116,114.46,118.03,113.53,117.73,CL
20111117,116.9,118.51,113.42,113.96,CL
20111118,113.75,115.29,111.78,112.55,CL
20111121,112.42,112.74,110.12,111.8,CL
20111122,112.08,113.58,111.43,112.89,CL
20111123,112.67,112.75,110.23,111.05,CL
20111125,111.88,112.43,109.87,111.65,CL
20111128,112.38,115.62,112.01,113.09,CL
20111129,112.63,115.03,112.11,114.67,CL
20111130,114.36,116.63,113.8,115.24,CL
20111201,115.39,116.05,113.75,115.08,CL
20111202,114.88,116.44,114.64,115.84,CL
20111205,116.11,117.32,115.12,115.87,CL
20111206,115.33,116.3,115.08,116.16,CL
20111207,115.99,116.82,114.55,115.37,CL
20111208,115.72,116.61,112.59,113.22,CL
20111209,112.96,114.79,112.24,114.29,CL
20111212,114.46,114.56,112.42,112.65,CL
20111213,112.73,116.13,112.52,115.02,CL
20111214,115.21,115.21,109.09,109.83,CL
20111215,109.77,110.87,108.19,108.75,CL
20111216,108.3,109.67,107.4,108.41,CL
20111219,108.64,109.3,107.42,108.76,CL
20111220,109.02,112.33,109.02,112.1,CL
20111221,112.39,114.11,111.66,113.53,CL
20111222,113.89,114.91,113.37,114.39,CL
20111223,114.34,115.09,114.1,114.54,CL
20111227,114.78,116.63,114.23,116.2,CL
20111228,116.11,116.57,113.97,114.22,CL
20111229,114.45,114.78,113.16,114.51,CL
20111230,114.64,115.02,113.47,113.69,CL
20120103,114.56,118.04,114.51,117.82,CL
20120104,117.85,118.6,116.74,118.08,CL
20120105,118.15,118.59,116.16,116.67,CL
20120106,116.21,117.66,115.74,116.42,CL
20120109,116.78,117.01,114.96,116.17,CL
20120110,116.16,118.27,116.16,117.1,CL
20120111,117.06,117.32,115.41,115.73,CL
20120112,115.86,117.84,113.36,113.96,CL
20120113,114.06,115.05,112.56,113.56,CL
20120117,114.52,115.87,113.46,115.57,CL
20120118,115.77,116.92,114.7,115.45,CL
20120119,116.0,116.92,114.84,115.25,CL
20120120,115.25,115.6,112.77,113.32,CL
20120123,113.33,115.23,112.39,114.57,CL
20120124,114.87,115.17,113.24,113.94,CL
20120125,114.19,115.39,112.52,114.39,CL
20120126,114.95,116.38,114.22,114.69,CL
20120127,114.92,115.62,114.12,114.55,CL
